Yieldscode,THLB,AU,LDSPP,SPCode,Wdks,X0,X10,X20,X30,X40,X50,X60,X70,X80,X90,X100,X110,X120,X130,X140,X150,X160,X170,X180,X190,X200,X210,X220,X230,X240,X250,X260,X270,X280,X290,X300,X310,X320,X330,X340,X350
*Y,?,1,Aspen,AAVOL,1,0,0,1.2,5.9,15,27.9,45.6,66,89,112.1,134.4,155.7,175.3,193.1,208.8,220.6,231,239.1,245.6,250.8,255.1,257.2,259.1,260.4,261.7,263,264.3,265.5,266.7,267.9,269,269.5,269.5,269.5,269.4,269.4
*Y,?,2,Balsam fir,BFVOL,1,0,0,0,0,0,0.6,2.3,5.8,11.3,19.2,29.2,43.4,60.5,80.1,101.1,121.4,138,150,158.4,164.3,168.5,170.1,169.4,169.2,169.1,169,169,169.1,169.1,169.2,169.2,169.3,169.1,168.8,168.5,168.2
*Y,?,3,Subalpine fir,SFVOL,1,0,0,0,0,0.2,24.3,62.7,112.4,165.4,219.1,269.6,314,345.4,367.8,387.4,401.4,410,414.1,416.9,419,421.1,421.8,422.9,423.9,425,426,426.9,427.9,428.8,429.6,430.4,431.2,431.4,431.4,431.4,431.4
*Y,?,9,Hemlock,HEVOL,1,0,0,0,0.1,0.5,1.2,2.5,3.9,5.6,8.1,25.9,49,78.7,115.9,159.1,205.8,247.4,278.8,302,319.2,332.2,342,344.9,347.7,350.2,352.5,354.6,356,357.3,358.4,358.9,359.2,358.9,357.9,356.9,355.7
*Y,?,9,Mountain hemlock,MHVOL,1,0,0,0,0.1,0.5,1.2,2.5,3.9,5.6,8.1,25.9,49,78.7,115.9,159.1,205.8,247.4,278.8,302,319.2,332.2,342,344.9,347.7,350.2,352.5,354.6,356,357.3,358.4,358.9,359.2,358.9,357.9,356.9,355.7
*Y,?,14,Whitebark pine,WPVOL,1,0,0,0,0,0,0,0,1.6,7.5,16.8,29.3,43.3,57.7,72,87.5,103,116.8,127.7,135.5,141.1,145.5,148.9,149.7,150.6,151.2,151.8,152.4,153,153.5,154.1,154.6,155.2,155.2,155,154.7,154.4
*Y,?,15,Lodgepole pine,LPVOL,1,0,0,0,0,0,0.2,0.7,2.1,7.5,15,24.9,36.3,48.6,61.4,74.2,85.9,95.4,102.6,107.8,111.6,114.5,115.8,116.1,116.5,116.9,117.4,117.8,118.2,118.5,118.9,119.3,119.6,119.8,119.8,119.7,119.7
*Y,?,17,Spruce,SPVOL,1,0,0,0,0,0,0,0.7,2.9,6.5,11.7,18.5,27.4,40.2,56.8,76.7,98.7,118.5,133.4,143.9,150.4,154.9,155.6,154.8,154.4,154.1,153.9,153.7,153.6,153.4,153.3,153.2,153.2,153.1,153.1,153,153
*Y,?,21,Spruce,SPVOL,1,0,0,0,0,21.7,65.9,124,183.2,238.5,288,331.6,369.8,402.7,429.7,451.5,467.6,478.2,483.3,485.5,485.9,485.4,483.1,480.1,477.3,474.6,472.1,469.7,467.4,465.2,463.1,461.1,459.2,458.5,458.3,458.3,458.3
*Y,?,22,Poplar,POVOL,1,0,0,0,1.2,4.7,16.8,28.5,46.1,62.8,78.5,93.9,111.1,125.5,138.4,149.2,157.8,164.2,169.2,173.1,176.3,179,180.7,182,183.3,184.5,185.6,186.7,187.7,188.7,189.6,190.5,191.1,191.2,191.2,191.2,191.2
*Y,?,23,Poplar,POVOL,1,0,0,0.3,3,11.2,26.6,44.3,63.3,88.3,109.5,130.2,148.4,165.1,180.3,192.8,202.9,210.4,215.4,219.3,222.4,225,226.7,228,229.3,230.4,231.6,232.6,233.6,234.6,235.5,236.4,236.9,237,237,237,237
*Y,?,26,Cottonwood,BCVOL,1,0,0,0,0.2,7,24.1,52.9,85.2,118.2,150,180,207.6,233,257,277.5,296.5,311.2,321.5,329.8,336.4,341.8,346.3,348.8,351.2,353.4,355.5,357.4,359.2,361,362.6,364.1,365.6,365.9,365.9,365.9,365.9
*Y,?,27,Aspen,AAVOL,1,0,0,0,0.3,2.2,9.3,20.9,37.9,56,75.2,95.8,115.2,133.9,150.4,164.5,175.9,184.6,190.9,195.5,199.2,202.1,204.1,205.3,207.3,208.3,209.2,210,210.8,211.5,212.2,212.9,213.6,213.7,213.7,213.7,213.7
*Y,?,28,Aspen,AAVOL,1,0,0,0.3,4.1,17.5,41.6,74.6,110.2,144.6,176.2,205.9,232.3,256.6,277.2,292.8,304,311.4,316.3,319.9,322.4,324.5,325.7,326,326.2,326.5,326.7,327.8,328,328.2,328.3,328.5,328.5,328.5,328.5,328.5,328.5
*Y,?,29,Paper birch,PBVOL,1,0,0,0,0,5.5,20.7,44,69.3,92.9,113,130.3,145.5,158.5,168.7,176,180.4,181.5,181,181.1,181.5,181.7,181.4,180.4,180.2,180.2,180.1,180.1,180.2,180.7,181.2,181.7,181.9,181.9,181.9,181.9,181.9
*Y,?,31,Douglas-fir,DFVOL,1,0,0,0,0,0.2,1.3,5.5,12.2,20.4,30.1,40.9,52.4,64.1,75.6,86.3,95.8,103.2,108.3,111.6,114,115.7,117,117.1,117.5,117.8,118,118.2,118.5,118.7,118.9,119.1,119.3,119.5,119.5,119.4,119.4
*Y,?,32,Douglas-fir,DFVOL,1,0,0,0,0.2,2,10.6,22.1,38.4,65.2,87.5,110,132.3,154.1,174.5,192.4,207.4,218,225.4,230.1,233.4,235.9,239.9,240.7,241.4,242.2,242.9,243.5,244.1,244.7,245.2,245.7,246.2,246.4,246.4,246.4,246.4
*Y,?,36,Ponderosa pine,PPVOL,1,0,0,0,0,0.7,5.4,18.6,38.6,63.2,85.9,108.9,131.9,153.9,173.1,188,200.4,209.3,215.5,219.6,223,225.4,226.9,227.3,227.8,228.2,228.7,229,229.4,229.7,230.1,230.4,230.6,230.7,230.7,230.7,230.7
*Y,?,37,Engelmann spruce,ESVOL,1,0,0,0,0,0,0,4.9,19.6,47.1,81.8,117.1,150.2,180.4,204.4,225.4,243.9,257.9,264.3,264.2,263.1,261.4,259.4,256.8,255.2,253.7,252.4,251.1,250,248.9,247.8,246.8,245.9,245.1,244.6,244.6,244.5
*Y,?,37,Spruce,SPVOL,1,0,0,0,0,0,0,4.9,19.6,47.1,81.8,117.1,150.2,180.4,204.4,225.4,243.9,257.9,264.3,264.2,263.1,261.4,259.4,256.8,255.2,253.7,252.4,251.1,250,248.9,247.8,246.8,245.9,245.1,244.6,244.6,244.5
*Y,?,42,Softwoods,SWVOL,1,0,0,0.1,2,6.4,13.4,57.6,85.8,115.6,145.8,175.8,205.1,232.7,257.7,278.8,295.5,306.1,313.3,318.7,322.9,326.2,327.4,328.5,329.1,329.7,330.2,330.7,331.1,331.6,332,332.4,332.7,332.7,332.7,332.7,332.7
*Y,?,47,Poplar,POVOL,1,0,0,0,0.1,1.9,10.4,27.1,50.8,77.9,105.6,132.1,156.9,179.2,198.2,213.8,225.9,234,238.5,241,242.2,242.6,242,240.3,238.7,237.2,235.6,234.1,232.7,231.3,229.9,228.6,227.3,226.6,226.6,226.6,226.5
*Y,?,48,Poplar,POVOL,1,0,0,0.1,1.7,14.5,45.9,89.4,136.2,180.7,220.7,256.1,286.9,313.5,335.3,352.6,365.4,373.3,376.8,378,377.8,376.6,374.8,371.7,368.6,365.6,362.7,359.8,357.1,354.4,351.7,349.2,346.8,345.7,345.7,345.7,345.7
*Y,?,49,Poplar,POVOL,1,0,0,0.4,16,87.7,188.5,286.9,371,439.1,493.7,535.6,568.7,594.6,614.1,628,636.8,640.5,640.3,637.8,634.2,630,625.6,620,614.7,609.5,604.5,599.9,595.5,591.4,587.6,584,580.6,579.5,579.5,579.5,579.5
*Y,?,51,Cottonwood,BCVOL,1,0,0,0,0,4.7,23.6,55.2,92.1,126.6,157.7,185.5,210,232.4,256.4,282.7,304.1,318.7,329.2,335.9,339.8,341.9,342.3,339.2,336.2,333,329.7,326.4,323.6,320.8,318.1,315.5,314.2,313.7,313.7,313.7,313.7
