AU,Yieldscode,THLB,LDSPP,SPCode,Wdks,X0,X10,X20,X30,X40,X50,X60,X70,X80,X90,X100,X110,X120,X130,X140,X150,X160,X170,X180,X190,X200,X210,X220,X230,X240,X250,X260,X270,X280,X290,X300,X310,X320,X330,X340,X350,canfi_species,curve_id
265,*Y,?,Subalpine fir,SFVOL,1,0.0,0.0,0.0,0.0,0.1,0.8,3.7,10.2,20.7,35.3,53.6,74.8,98.3,122.8,147.2,170.0,188.3,201.2,210.0,215.8,219.4,221.1,221.3,221.5,221.8,222.0,222.1,222.2,222.3,222.5,222.6,222.8,222.9,222.9,222.8,222.7,304.0,265
387,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.0,0.1,1.7,8.6,24.3,49.0,80.8,117.0,154.8,192.1,228.0,261.9,291.6,314.1,329.0,338.3,343.7,346.7,346.5,344.0,341.8,339.7,337.8,335.9,334.2,332.6,331.0,329.6,328.3,327.1,326.5,326.3,326.2,100.0,387
335,*Y,?,Aspen,AAVOL,1,0.0,0.0,0.0,1.5,9.4,25.7,48.8,75.9,104.2,131.9,157.9,181.6,202.2,219.8,234.1,244.5,252.2,257.4,261.0,263.6,265.5,266.0,266.0,266.1,266.0,266.0,265.9,265.8,265.7,265.7,265.6,265.5,265.5,265.5,265.5,265.5,1211.0,335
344,*Y,?,Subalpine fir,SFVOL,1,0.0,0.0,0.0,0.0,0.2,3.1,12.8,31.4,58.1,90.8,126.9,163.9,199.7,233.2,263.2,288.3,306.6,318.7,326.4,331.2,334.2,334.4,333.3,332.2,331.2,330.1,329.1,328.0,326.9,325.9,325.1,324.2,323.5,323.0,322.6,322.3,304.0,344
306,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.0,0.0,0.6,3.6,11.6,25.8,46.0,71.3,100.0,130.5,161.8,192.8,221.3,243.8,259.4,269.9,276.7,280.8,282.1,281.0,280.1,279.2,278.4,277.6,276.8,276.0,275.3,274.7,274.2,273.6,273.3,273.1,273.0,100.0,306
365,*Y,?,Western hemlock,WHVOL,1,0.0,0.0,0.0,0.0,0.9,6.7,20.7,43.8,74.9,112.9,155.9,202.1,249.2,295.8,340.1,379.6,410.5,432.9,449.0,460.3,468.3,472.1,473.0,473.7,474.4,474.8,475.3,475.6,475.9,476.1,476.3,476.6,476.5,476.1,475.5,475.1,402.0,365
388,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.2,5.4,27.2,72.0,132.2,196.3,256.4,309.6,355.4,394.6,427.9,454.9,475.9,490.0,497.7,501.0,501.9,501.1,498.4,494.4,490.7,487.3,484.0,481.0,478.1,475.3,472.7,470.3,467.9,466.2,465.7,465.6,465.5,100.0,388
1085,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.6,1.3,2.7,6.0,12.1,20.2,28.3,35.4,41.2,45.6,48.6,48.4,48.4,48.3,52.4,53.4,53.5,53.6,53.9,55.3,58.9,58.9,59.1,59.1,59.0,100.0,1085
400,*Y,?,White spruce,WSVOL,1,0.0,0.0,0.2,0.7,8.1,33.7,83.3,147.4,213.2,273.5,325.8,370.3,407.6,438.6,463.6,483.2,495.6,502.0,504.3,504.0,502.5,499.3,495.2,491.4,487.9,484.6,481.4,478.3,475.3,472.5,469.8,467.3,465.6,465.1,465.1,465.0,105.0,400
307,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.1,4.1,21.1,56.7,106.5,161.4,213.5,259.4,298.9,332.7,361.8,385.3,405.3,420.1,429.8,435.9,439.5,441.7,441.4,439.8,438.2,436.7,435.3,433.9,432.6,431.4,430.3,429.2,428.2,427.5,427.2,427.1,427.0,100.0,307
399,*Y,?,White spruce,WSVOL,1,0.0,0.0,0.1,0.2,0.5,2.3,11.0,31.7,63.2,100.9,140.0,177.7,212.5,244.2,272.5,296.8,314.7,326.1,333.0,336.5,337.7,337.0,334.9,332.9,331.0,329.3,327.6,326.0,324.5,323.0,321.5,320.1,318.9,318.3,318.3,318.4,105.0,399
317,*Y,?,White spruce,WSVOL,1,0.0,0.0,0.0,0.0,0.0,0.2,1.9,7.9,19.7,37.3,59.0,83.0,108.3,134.3,160.3,185.4,206.0,220.6,230.3,236.4,239.9,241.6,240.8,240.1,239.5,238.9,238.4,237.9,237.4,237.0,236.5,236.1,235.7,235.4,235.3,235.3,105.0,317
